model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
EDuRec,0.8333333730697632,1.0,0.3333333432674408,0.11574073880910873,0.11574073880910873,0.0972222313284874,0.11574073880910873,0.11574073880910873,0.0972222313284874,0.30901750922203064,0.35068416595458984,0.15511278808116913,0.05000000447034836,0.02500000223517418,0.06666667014360428,0.5,0.5,0.3333333432674408
ItemKNN,0.3333,0.5,0.1667,0.0764,0.0868,0.0556,0.0764,0.0868,0.0556,0.1359,0.1767,0.0833,0.0333,0.025,0.0333,0.3333,0.5,0.1667
NeuMF,0.1667,0.5,0.1667,0.0833,0.1068,0.0833,0.0833,0.1068,0.0833,0.1052,0.1896,0.1052,0.0167,0.025,0.0333,0.1667,0.5,0.1667
LightGCN,0.5,0.8333,0.1667,0.2143,0.241,0.1667,0.2143,0.241,0.1667,0.2778,0.3666,0.1667,0.05,0.0417,0.0333,0.5,0.8333,0.1667
MultiVAE,0.6667,0.6667,0.3333,0.2646,0.2646,0.2222,0.2646,0.2646,0.2222,0.3557,0.3557,0.25,0.0667,0.0333,0.0667,0.6667,0.6667,0.3333
SGL,0.6667,0.8333,0.5,0.5208,0.5347,0.5,0.5208,0.5347,0.5,0.5526,0.5976,0.5,0.0667,0.0417,0.1,0.6667,0.8333,0.5
SASRec,0.6241,0.8292,0.3645,0.2292,0.244,0.1961,0.2292,0.244,0.1961,0.3198,0.3724,0.2374,0.0624,0.0415,0.0729,0.6241,0.8292,0.3645
BERT4Rec,0.3599,0.5854,0.246,0.159,0.1748,0.1439,0.159,0.1748,0.1439,0.206,0.2632,0.1692,0.036,0.0293,0.0492,0.3599,0.5854,0.246
