model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
EDuRec,0.25643137097358704,0.3338649868965149,0.19345544278621674,0.13039149343967438,0.13458402454853058,0.12282534688711166,0.13039149343967438,0.13458402454853058,0.12282534688711166,0.16089868545532227,0.18044009804725647,0.14061856269836426,0.024922823533415794,0.015460999682545662,0.03845441713929176,0.24922823905944824,0.30922001600265503,0.19227206707000732
ItemKNN,0.4324,0.6382,0.2474,0.046,0.0595,0.0366,0.1381,0.1527,0.1138,0.0964,0.1412,0.066,0.0632,0.0585,0.0616,0.1328,0.2387,0.0671
NeuMF,0.3595,0.5537,0.2048,0.0326,0.0407,0.0276,0.118,0.1313,0.0977,0.0718,0.1037,0.0514,0.045,0.0413,0.0457,0.0957,0.1733,0.0494
LightGCN,0.3682,0.5853,0.2007,0.0382,0.0486,0.0302,0.1242,0.1394,0.1024,0.0798,0.1179,0.0539,0.0491,0.0471,0.0461,0.1069,0.1981,0.0515
MultiVAE,0.2338,0.3117,0.1403,0.0274,0.0295,0.0249,0.1021,0.1075,0.0901,0.0526,0.0624,0.0417,0.0258,0.0186,0.0296,0.0591,0.083,0.0349
SGL,0.1701,0.2097,0.1244,0.0239,0.0248,0.0227,0.0875,0.0901,0.0812,0.0431,0.0474,0.0376,0.0186,0.0119,0.0262,0.0448,0.0554,0.0317
SASRec,0.2918,0.3871,0.2112,0.1349,0.1414,0.1242,0.1349,0.1414,0.1242,0.1718,0.1958,0.1458,0.0292,0.0194,0.0422,0.2918,0.3871,0.2112
BERT4Rec,0.1983,0.2835,0.1363,0.0814,0.0872,0.0732,0.0814,0.0872,0.0732,0.1088,0.1302,0.0888,0.0198,0.0142,0.0273,0.1983,0.2835,0.1363
